GWAP,LWAP,FLOW_MIN,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Davao City,TMAX_Davao City,TMIN_Davao City,RAINFALL_Surigao,TMAX_Surigao,TMIN_Surigao,RAINFALL_Zamboanga,TMAX_Zamboanga,TMIN_Zamboanga,RAINFALL_Dipolog,TMAX_Dipolog,TMIN_Dipolog,RAINFALL_Butuan,TMAX_Butuan,TMIN_Butuan,RAINFALL_Malaybalay,TMAX_Malaybalay,TMIN_Malaybalay,RAINFALL_General Santos,TMAX_General Santos,TMIN_General Santos,RAINFALL_Cotabato,TMAX_Cotabato,TMIN_Cotabato
6573.976466555406,6950.909514,0.0,0.0015850746268656,0.000300390625,0.000303203125,16539.180898477465,38894.0,6.6,32.1,23.7,52.8,28.5,22.6,0.0,32.8,23.5,33.5,32.2,24.6,31.3,29.6,22.6,0.0,30.5,18.5,0.0,32.4,23.0,0.0,33.8,23.0
5911.196106665685,6186.040557,0.0,0.0010027620205294,0.0,308.8589715277778,9797.926496107057,39170.0,0.4,31.5,22.8,0.4,30.0,24.0,1.4,33.4,23.4,2.7,30.7,24.7,0.6,31.0,21.0,0.8,29.5,17.0,-1.0,31.0,21.0,-1.0,32.4,23.4
5430.863914538141,5678.665755,0.0,0.0008584986015764,0.0,441.8614604040664,3713.081232600797,38559.0,-1.0,30.4,23.6,33.6,29.4,23.6,0.0,33.8,24.2,5.8,31.7,23.5,7.0,32.0,23.1,3.2,30.0,18.8,0.0,32.2,22.5,2.0,33.5,23.2
5419.867321458711,5653.579274,0.0,0.0012813740458015,9.951219512195122e-05,9389.498498135888,12537.360905042586,38889.0,12.8,31.6,23.0,24.4,28.9,24.0,10.0,32.7,23.7,1.7,30.5,23.5,1.7,30.0,23.0,0.0,29.5,18.0,-1.0,32.1,22.0,1.2,32.8,23.0
5953.94906,6235.46037,0.0,0.0002059344997156,0.0,130.75454340277778,4517.509354819387,39247.0,0.0,32.2,24.5,16.7,30.0,23.8,0.0,33.9,24.4,19.6,32.0,24.8,1.5,32.0,23.6,3.0,31.0,18.6,0.0,31.2,21.1,0.0,33.0,23.0
5863.692363485434,6130.726011,0.0,0.0018386770212175,0.0,771.4928331360185,9476.726636924826,37896.0,-1.0,33.0,25.0,2.5,30.5,24.8,0.0,33.6,24.0,2.1,32.2,25.6,0.8,32.5,22.8,0.1,31.0,18.5,0.0,34.0,24.2,0.0,34.6,23.3
4324.547857824799,4521.636574,0.0,0.0015881291733374,0.000486560805577,92.68831757681384,16194.7233782336,35171.0,3.2,32.6,24.0,24.8,31.2,23.0,0.0,34.1,23.5,0.1,32.2,24.0,19.4,31.5,23.7,1.4,30.0,18.6,0.0,32.1,23.9,0.0,33.8,23.3
5965.173772524929,6239.570793,0.0,0.0023056666666666,0.0003385034818026,106.95430578409535,9478.516211688222,38690.0,1.4,30.6,24.8,59.7,26.5,23.6,0.8,32.9,24.2,119.7,28.7,22.7,26.3,27.2,23.7,1.8,27.5,19.8,14.2,32.2,23.4,7.5,32.0,23.0
5130.350777530514,5336.292362,0.0,0.0007107998375964,9.442674123691228e-05,195.62420081706765,2251.541567858783,37376.0,14.8,27.6,22.9,93.4,26.0,22.0,0.2,30.2,23.9,77.1,25.2,22.2,124.3,30.1,23.0,74.3,28.0,19.0,7.0,25.3,22.5,5.5,27.3,22.0
4920.473174,5134.164681,0.0,0.0007549324057804,0.0,615.4257760416667,9184.942491790896,37161.0,0.1,29.8,23.5,6.9,27.5,22.2,0.0,34.5,23.9,3.2,28.7,24.7,0.6,30.1,22.4,0.0,30.5,18.1,1.6,26.1,22.9,0.3,29.4,22.8
5106.594346111851,5329.134807,0.0,0.0009400175131348,0.000234965034965,269.81853634421134,9878.7649629165,37402.0,4.6,30.8,23.2,3.9,28.0,22.7,-1.0,33.9,25.0,7.0,31.5,24.0,11.4,28.3,22.4,2.0,30.5,17.6,0.0,31.6,22.0,20.2,33.0,22.4
4994.962033900472,5211.048044,0.0,2681.7600485702196,0.0,449.38319375,9711.819139955503,36291.0,18.8,25.7,23.4,57.8,27.2,23.9,0.0,33.0,24.0,1.8,30.3,24.0,194.2,27.8,23.0,43.4,26.0,19.5,0.0,29.9,22.8,1.6,31.5,22.0
3892.534155907375,4052.44209,0.0,0.0,0.0,321.39988750661723,9147.14090507193,34645.0,0.0,30.0,23.3,76.6,27.0,22.8,0.0,31.9,24.5,7.2,27.4,23.4,23.8,28.0,22.8,2.0,28.0,19.0,0.0,30.2,22.7,-1.0,30.6,23.0
3944.987328,4116.96386,0.0,0.00029309051955,0.0,589.924876782364,14652.397670470762,34336.0,1.0,31.6,24.7,0.0,31.6,23.8,0.0,32.8,24.3,-1.0,31.7,23.6,10.8,32.8,23.3,1.2,29.0,20.0,0.0,30.1,22.8,0.0,32.2,23.0
