GWAP,LWAP,FLOW_VIS,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Catbalogan,TMAX_Catbalogan,TMIN_Catbalogan,RAINFALL_Roxas City,TMAX_Roxas City,TMIN_Roxas City,RAINFALL_Catarman,TMAX_Catarman,TMIN_Catarman,RAINFALL_Maasin,TMAX_Maasin,TMIN_Maasin,RAINFALL_Dumaguete,TMAX_Dumaguete,TMIN_Dumaguete
5622.6695977444615,5823.672866,6580.63,1653.7225182486611,2469.2859454174663,171.46561883397317,42.11653747774988,38337.0,10.6,31.1,24.0,0.0,29.0,24.6,23.1,29.5,23.4,15.8,28.6,22.5,3.1,28.8,24.7
5417.402782877006,5551.913253,5951.12,1626.949320109543,5945.368043822259,240.37434962301035,1.4190914267140464e-06,38424.0,178.8,28.1,22.5,7.5,27.3,23.2,61.8,26.3,23.0,9.8,29.0,22.5,0.0,29.9,25.4
6165.004779243172,6377.57118,17516.13,1968.963423263889,6593.411097014123,269.27297852150537,93.35198415090407,37469.0,32.2,27.0,22.5,0.0,27.5,24.8,4.0,28.3,22.4,-1.0,29.0,22.2,0.0,30.2,25.4
7889.602838678498,8158.626478,32479.79,3395.558901736111,2697.1637328619368,0.0004993347226675,31.032364839989864,38422.0,14.1,29.5,23.4,3.0,29.9,25.7,3.0,28.9,25.4,2.8,29.0,23.5,1.3,29.8,25.4
5956.4318625181095,6191.53052,9466.7,2184.234256324627,8210.326362443815,0.0001423349893541,0.0,37088.0,0.2,31.9,23.8,0.0,30.9,25.1,1.0,30.2,24.8,1.4,28.0,24.0,0.1,29.4,25.7
8118.707584100903,8406.5967,28445.36,4438.580578472222,10524.320268119678,498.7908296642686,525.6986219497697,36128.0,0.0,33.5,25.0,2.0,28.4,25.5,0.2,31.0,23.5,25.4,30.0,23.0,0.3,29.6,25.1
5940.863338744272,6192.692054,32932.25,2104.1406305555556,11069.662906726377,260.2191050520704,1.1803681248809933e-05,35098.0,6.0,33.2,24.6,0.0,31.0,25.2,0.0,30.9,25.6,111.2,26.0,22.4,15.6,29.7,24.5
4319.241383278588,4446.681354,2676.85,502.2749988925713,9258.793381041374,228.1383067642219,0.0,36856.0,9.6,30.7,23.9,1.0,28.8,24.8,25.4,29.1,23.9,64.4,26.5,23.0,1.4,28.4,24.9
4775.846191534183,4978.195859,-11630.29,1026.6533215277775,8676.966250812955,98.41490754344392,1.1843622468608907e-06,38666.0,0.0,33.7,23.4,0.0,28.3,25.0,0.8,30.2,23.0,0.0,30.0,24.0,0.0,30.7,26.0
6169.996962399568,6399.5806,-20154.11,2068.7856430555557,9985.367814135392,233.75534059724168,3.0279224098702583e-05,39459.0,19.0,30.6,24.5,0.0,30.0,25.7,30.6,30.3,23.8,26.2,28.0,23.4,2.0,30.8,26.0
